,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.8441285222491394,0.552591847005536,0.8113506478809484,0.6983601846273377,0.7856826194376141
recall,0.9370842179759378,0.3099068585944115,0.8113506478809484,0.6234955382851747,0.8113506478809484
f1-score,0.8881808425006708,0.3971066907775768,0.8113506478809484,0.6426437666391238,0.7897326039698654
support,28260.0,7086.0,0.8113506478809484,35346.0,35346.0
