,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.8297063691534359,0.5625,0.8091438918123691,0.6961031845767179,0.7761380917862304
recall,0.9578910120311395,0.21591871295512277,0.8091438918123691,0.5869048624931311,0.8091438918123691
f1-score,0.8892027723943107,0.312053844584948,0.8091438918123691,0.6006283084896293,0.7734986671926714
support,28260.0,7086.0,0.8091438918123691,35346.0,35346.0
