,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.806951652553947,0.6619439366240097,0.762070916635232,0.7344477945889784,0.7579137735153997
recall,0.8419065260758051,0.6058282208588958,0.762070916635232,0.7238673734673504,0.762070916635232
f1-score,0.8240585774058576,0.6326441467676179,0.762070916635232,0.7283513620867378,0.7593271413186521
support,14036.0,7172.0,0.762070916635232,21208.0,21208.0
