,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.7884690299961044,0.6741302101274543,0.757167106752169,0.7312996200617794,0.7498025826131376
recall,0.8652037617554859,0.5457334076965978,0.757167106752169,0.7054685847260418,0.757167106752169
f1-score,0.8250560500033969,0.6031746031746031,0.757167106752169,0.714115326589,0.7500214528393028
support,14036.0,7172.0,0.757167106752169,21208.0,21208.0
