,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.8442234848484849,0.5867430441898527,0.8175182481751825,0.7154832645191688,0.7926050159267662
recall,0.9463906581740976,0.3035563082133785,0.8175182481751825,0.624973483193738,0.8175182481751825
f1-score,0.8923923923923924,0.40011160714285715,0.8175182481751825,0.6462519997676248,0.7937022536418066
support,28260.0,7086.0,0.8175182481751825,35346.0,35346.0
