,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.7542857142857143,0.715553235908142,0.7332908975175048,0.7349194750969281,0.7349044083573372
recall,0.6913929784824462,0.7751236749116608,0.7332908975175048,0.7332583266970535,0.7332908975175048
f1-score,0.7214713051185463,0.7441481783024628,0.7332908975175048,0.7328097417105046,0.7328185629002995
support,7064.0,7075.0,0.7332908975175048,14139.0,14139.0
