,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.7809691912708601,0.7221449348678386,0.7480727066977862,0.7515570630693493,0.7515341807289988
recall,0.6889864099660249,0.8070671378091873,0.7480727066977862,0.7480267738876061,0.7480727066977862
f1-score,0.7320998796630566,0.7622480309704979,0.7480727066977862,0.7471739553167772,0.7471856827962448
support,7064.0,7075.0,0.7480727066977862,14139.0,14139.0
