,0.0,1.0,accuracy,macro avg,weighted avg
precision,0.7872550633953564,0.7169600793454004,0.7471532640215008,0.7521075713703784,0.7520802269745743
recall,0.6768120045300113,0.8173851590106007,0.7471532640215008,0.747098581770306,0.7471532640215008
f1-score,0.727867854152394,0.7638861369790634,0.7471532640215008,0.7458769955657287,0.7458910064968799
support,7064.0,7075.0,0.7471532640215008,14139.0,14139.0
